,,,,,,Total Rank,Upper,,,Lower,,,UP+LO,,Static,,,Couple,,,LRO-T OA,,,LRO-B OA,,,RRO1 OA,,,RRO2 OA,,,RRO3 OA,,,LRO-T 1st,,,LRO-B 1st,,,RRO1 1st,,,RRO2 1st,,,RRO3 1st,,,LRO-T 2nd,,,LRO-B 2nd,,,RRO1 2nd,,,RRO2 2nd,,,RRO3 2nd,,,LRO-T Nth,,,LRO-B Nth,,,RRO1 Nth,,,RRO2 Nth,,,RRO3 Nth,,,LRO-T Bulge,,,LRO-B Bulge,,,LRO-T Dent,,,LRO-B Dent,,,Circuly,,OuterDiameter1,,OuterDiameter2,,OuterDiameter3,,RO TOTAL,Meas.Pressure,Weight,,Width,
362827,2023/10/25,07:58:34,101,175/65R14           ,49405037,A,20.274,297.9,A,29.249,324.6,A,49.523,A,48.222,313.7,A,14.411,184,A,0.605,165.2,A,0.301,49.7,A,0,0,A,0.586,337.9,A,0,0,A,0.436,157.7,A,0.121,351.3,A,0,0,A,0.494,321.7,A,0,0,A,0.16,223,A,0.108,18.5,A,0,0,A,0.059,13.4,A,0,0,A,0.036,223,A,0.021,18.5,A,0,0,A,0.054,10.1,A,0,0,A,0.559,326.2,A,0.456,326.2,A,0.427,335.9,A,0.311,335.9,A,0.149,A,0,A,596.833,A,0,A,A,0,0,OK,0,A
362828,2023/10/25,07:59:05,101,175/65R14           ,49403975,A,21.01,59,A,11.566,155,A,32.577,A,22.917,89.2,A,25.005,31.7,A,0.377,79.1,A,0.728,219.6,A,0,0,A,1.107,74.3,A,0,0,A,0.048,131.1,A,0.355,174.5,A,0,0,A,0.701,53.9,A,0,0,A,0.123,133.7,A,0.111,16.2,A,0,0,A,0.186,237.7,A,0,0,A,0.048,133.7,A,0.067,16.2,A,0,0,A,0.086,237.7,A,0,0,A,0.555,356.8,A,0.328,356.6,A,0.347,4.9,A,0.279,350.2,A,0.352,A,0,A,596.792,A,0,A,A,0,0,OK,0,A
362829,2023/10/25,07:59:35,101,175/65R14           ,49405036,A,12.682,304.2,A,23.775,77.9,A,36.457,A,17.579,46.5,A,33.81,273.6,A,0.499,261.1,A,0.562,80.5,A,0,0,A,0.666,7,A,0,0,A,0.269,271.1,A,0.249,135.2,A,0,0,A,0.475,19.6,A,0,0,A,0.109,202.8,A,0.074,270.3,A,0,0,A,0.056,164.9,A,0,0,A,0.052,202.8,A,0.039,270.3,A,0,0,A,0.026,163.5,A,0,0,A,0.471,357.7,A,0.451,357.2,A,0.441,3.6,A,0.399,1.8,A,0.16,A,0,A,596.883,A,0,A,A,0,0,OK,0,A
362830,2023/10/25,08:00:02,101,175/65R14           ,49405043,A,7.333,16.8,A,21.144,326.9,A,28.476,A,26.468,339.1,A,17.351,128.1,A,0.612,76.6,A,0.473,308.8,A,0,0,A,0.653,337.4,A,0,0,A,0.392,152.5,A,0.287,254.8,A,0,0,A,0.382,1.8,A,0,0,A,0.17,131.5,A,0.14,304.3,A,0,0,A,0.08,220.8,A,0,0,A,0.026,131.5,A,0.052,304.3,A,0,0,A,0.095,220.8,A,0,0,A,0.259,305.9,A,0.272,306.1,A,0.284,303.5,A,0.249,232.9,A,0.244,A,0,A,597.151,A,0,A,A,0,0,OK,0,A
362831,2023/10/25,08:00:31,101,175/65R14           ,49403976,A,28.306,54.4,A,29.819,62,A,58.125,A,57.998,58.3,A,4.128,306.7,A,0.51,247.3,A,0.469,0.6,A,0,0,A,0.924,81.7,A,0,0,A,0.236,199.6,A,0.15,165.4,A,0,0,A,0.626,39.6,A,0,0,A,0.186,167.4,A,0.172,292.7,A,0,0,A,0.178,258.7,A,0,0,A,0.05,167.4,A,0.054,292.7,A,0,0,A,0.023,258.7,A,0,0,A,0.505,359.6,A,0.417,0.2,A,0.375,7.2,A,0.27,72.8,A,0.346,A,0,A,596.786,A,0,A,A,0,0,OK,0,A
362832,2023/10/25,08:00:59,101,175/65R14           ,49403876,A,23.905,39.6,A,8.426,43.8,A,32.331,A,32.314,40.7,A,15.513,37.3,A,0.381,96.8,A,0.499,160.3,A,0,0,A,0.743,337.1,A,0,0,A,0.131,156.1,A,0.224,187.8,A,0,0,A,0.514,30.4,A,0,0,A,0.176,123.2,A,0.199,326.2,A,0,0,A,0.252,257.6,A,0,0,A,0.035,123.2,A,0.022,326.2,A,0,0,A,0.094,257.6,A,0,0,A,0.747,358.2,A,0.571,357.5,A,0.534,6.4,A,0.451,349.7,A,0.348,A,0,A,596.792,A,0,A,A,0,0,OK,0,A
362833,2023/10/25,08:01:31,101,175/65R14           ,49405028,A,34.558,85.9,A,19.299,56.6,A,53.857,A,52.25,75.5,A,20.083,113.9,A,0.785,82,A,0.541,302.3,A,0,0,A,0.825,76.7,A,0,0,A,0.304,109.1,A,0.21,236.4,A,0,0,A,0.508,65.7,A,0,0,A,0.318,149.7,A,0.182,298.1,A,0,0,A,0.097,292.9,A,0,0,A,0.031,149.7,A,0.021,298.1,A,0,0,A,0.059,292.9,A,0,0,A,0.626,2.3,A,0.327,300.4,A,0.334,72.8,A,0.314,73.2,A,0.271,A,0,A,597.055,A,0,A,A,0,0,OK,0,A
362834,2023/10/25,08:02:04,101,175/65R14           ,49403811,A,10.092,91.9,A,5.984,105.4,A,16.076,A,15.971,96.9,A,4.496,73.7,A,0.496,75.1,A,0.457,185.6,A,0,0,A,0.624,61.8,A,0,0,A,0.179,141.3,A,0.216,221.5,A,0,0,A,0.35,27,A,0,0,A,0.164,137.8,A,0.061,8.3,A,0,0,A,0.035,196.1,A,0,0,A,0.032,137.8,A,0.055,8.3,A,0,0,A,0.092,191.1,A,0,0,A,0.408,38.1,A,0.562,109.6,A,0.445,55.5,A,0.69,117,A,0.278,A,0,A,596.934,A,0,A,A,0,0,OK,0,A
362835,2023/10/25,08:02:29,101,175/65R14           ,49403952,A,32.401,8.6,A,15.084,10.5,A,47.486,A,47.48,9.2,A,17.332,6.9,A,0.535,61.8,A,1.907,172.1,E,0,0,A,0.988,75.1,A,0,0,A,0.286,6.4,A,0.76,176.8,A,0,0,A,0.755,27.5,A,0,0,A,0.112,157,A,0.177,216.1,A,0,0,A,0.115,248.5,A,0,0,A,0.073,157,A,0.069,216.1,A,0,0,A,0.063,248.6,A,0,0,A,0.608,358.5,A,1.021,349,E,0.374,349.9,A,1.787,358.1,E,0.28,A,0,A,596.521,A,0,A,E,0,0,OK,0,A
362836,2023/10/25,08:02:58,101,175/65R14           ,49403809,A,12.828,354.9,A,16.781,22.7,A,29.609,A,28.759,10.7,A,8.077,250.4,A,0.538,176.2,A,0.472,139,A,0,0,A,0.709,74.5,A,0,0,A,0.303,233.6,A,0.052,182,A,0,0,A,0.427,31.9,A,0,0,A,0.15,48.3,A,0.111,291,A,0,0,A,0.132,158.4,A,0,0,A,0.087,48.3,A,0.054,291,A,0,0,A,0.087,160,A,0,0,A,0.561,359.2,A,0.389,358.4,A,0.582,136.5,A,0.247,15.9,A,0.256,A,0,A,596.915,A,0,A,A,0,0,OK,0,A
362837,2023/10/25,08:03:26,101,175/65R14           ,49403810,A,14.287,41.3,A,11.319,335.1,A,25.606,A,21.511,12.5,A,14.204,88.1,A,0.482,253.7,A,0.429,255.1,A,0,0,A,0.788,0.6,A,0,0,A,0.245,186.6,A,0.212,176.6,A,0,0,A,0.429,30.9,A,0,0,A,0.251,195.2,A,0.113,136.8,A,0,0,A,0.096,350.9,A,0,0,A,0.057,195.2,A,0.073,136.8,A,0,0,A,0.045,347.4,A,0,0,A,0.428,70.2,A,0.287,141.6,A,0.307,318.4,A,0.361,67.5,A,0.313,A,0,A,596.871,A,0,A,A,0,0,OK,0,A
362838,2023/10/25,08:03:53,101,175/65R14           ,49403937,A,23.583,34.3,A,3.577,175,A,27.16,A,20.94,40.5,A,26.447,29.4,A,0.335,312.5,A,0.414,80.2,A,0,0,A,1.236,21.2,A,0,0,A,0.175,248.3,A,0.236,154,A,0,0,A,0.969,11,A,0,0,A,0.105,17.1,A,0.025,200.3,A,0,0,A,0.064,234.6,A,0,0,A,0.019,17.1,A,0.052,200.3,A,0,0,A,0.101,233,A,0,0,A,0.744,356.7,A,0.52,357,A,0.428,4.2,A,0.295,4.1,A,0.337,A,0,A,596.845,A,0,A,A,0,0,OK,0,A
362839,2023/10/25,08:04:22,101,175/65R14           ,49403881,A,14.51,46.1,A,13.129,145.7,A,27.639,A,17.878,92.5,A,21.123,8.3,A,0.528,61.3,A,0.822,157.3,A,0,0,A,0.573,339.2,A,0,0,A,0.092,55.5,A,0.439,175,A,0,0,A,0.369,358.2,A,0,0,A,0.33,109.2,A,0.13,281.7,A,0,0,A,0.152,197.8,A,0,0,A,0.064,109.2,A,0.069,281.7,A,0,0,A,0.059,197.8,A,0,0,A,0.627,355.3,A,0.504,354.8,A,0.493,195.9,A,0.518,67.7,A,0.248,A,0,A,596.7,A,0,A,A,0,0,OK,0,A
362840,2023/10/25,08:04:50,101,175/65R14           ,49405038,A,5.683,9.1,A,4.174,11.3,A,9.857,A,9.855,10.1,A,1.521,3.1,A,0.57,170.9,A,0.408,99,A,0,0,A,1.131,73.2,A,0,0,A,0.441,197.8,A,0.164,152.8,A,0,0,A,0.819,16.8,A,0,0,A,0.029,350.2,A,0.15,146.2,A,0,0,A,0.166,159.3,A,0,0,A,0.021,350.2,A,0.027,146.2,A,0,0,A,0.113,159.3,A,0,0,A,0.548,353.2,A,0.397,353.3,A,0.314,2,A,0.273,328.1,A,0.327,A,0,A,596.936,A,0,A,A,0,0,OK,0,A
362841,2023/10/25,08:05:23,101,175/65R14           ,49405026,A,9.707,35.7,A,15.019,329.9,A,24.726,A,20.956,354.9,A,14.157,111.2,A,0.613,82.7,A,0.704,168,A,0,0,A,0.574,90.7,A,0,0,A,0.051,312.4,A,0.181,162.2,A,0,0,A,0.429,36.2,A,0,0,A,0.313,136.6,A,0.198,341.5,A,0,0,A,0.088,245.5,A,0,0,A,0.059,136.6,A,0.035,341.5,A,0,0,A,0.011,244.2,A,0,0,A,0.629,80,A,0.394,2.5,A,0.572,74.9,A,0.543,74.8,A,0.237,A,0,A,597.036,A,0,A,A,0,0,OK,0,A
362842,2023/10/25,08:05:58,101,175/65R14           ,49403906,A,5.26,295.7,A,10.268,62.8,A,15.528,A,8.237,32.2,A,14.084,260.1,A,0.61,243,A,0.458,160.4,A,0,0,A,0.897,75.8,A,0,0,A,0.281,227.5,A,0.291,126.3,A,0,0,A,0.679,38.8,A,0,0,A,0.249,136.2,A,0.121,356.7,A,0,0,A,0.189,263.7,A,0,0,A,0.045,136.2,A,0.055,356.7,A,0,0,A,0.078,263.7,A,0,0,A,0.637,359.1,A,0.388,359.6,A,0.363,8.1,A,0.165,334.4,A,0.313,A,0,A,596.59,A,0,A,A,0,0,OK,0,A
362843,2023/10/25,08:06:28,101,175/65R14           ,49403938,A,34.499,1.9,A,20.004,89.4,A,54.503,A,40.631,31.4,A,39.113,331.2,A,0.409,230.4,A,0.655,157.9,A,0,0,A,0.874,24.4,A,0,0,A,0.205,261.7,A,0.431,140.4,A,0,0,A,0.654,24.3,A,0,0,A,0.139,87.7,A,0.024,332.1,A,0,0,A,0.063,147.3,A,0,0,A,0.038,87.7,A,0.043,332.1,A,0,0,A,0.077,147.3,A,0,0,A,0.709,358.6,A,0.641,359.6,A,0.508,350,A,0.46,351.5,A,0.242,A,0,A,596.615,A,0,A,A,0,0,OK,0,A
362844,2023/10/25,08:06:57,101,175/65R14           ,49403904,A,5.488,45.2,A,22.028,318.9,A,27.516,A,23.043,332.6,A,22.355,124.7,A,0.471,80.1,A,0.541,200.3,A,0,0,A,0.562,55.5,A,0,0,A,0.328,146.1,A,0.23,239.9,A,0,0,A,0.409,18.5,A,0,0,A,0.053,71.7,A,0.142,335.8,A,0,0,A,0.154,92.9,A,0,0,A,0.041,71.7,A,0.048,335.8,A,0,0,A,0.06,92.9,A,0,0,A,0.639,353.1,A,0.466,353.3,A,0.321,1.9,A,0.34,64.9,A,0.272,A,0,A,596.903,A,0,A,A,0,0,OK,0,A
362845,2023/10/25,08:07:24,101,175/65R14           ,49403905,A,12.261,330,A,15.23,103.7,A,27.491,A,11.154,51,A,25.302,304.2,A,0.607,353.7,A,0.63,157.5,A,0,0,A,0.538,76,A,0,0,A,0.167,301.5,A,0.408,150.7,A,0,0,A,0.331,16,A,0,0,A,0.059,135.1,A,0.075,353.7,A,0,0,A,0.173,212.3,A,0,0,A,0.024,135.1,A,0.023,353.7,A,0,0,A,0.045,211.3,A,0,0,A,0.333,356.1,A,0.477,355.3,A,0.335,348,A,0.326,347,A,0.248,A,0,A,596.916,A,0,A,A,0,0,OK,0,A
362846,2023/10/25,08:07:51,101,175/65R14           ,49405032,A,32.936,14.9,A,34.736,8,A,67.672,A,67.55,11.4,A,4.439,125.3,A,0.709,245.3,A,0.357,61.3,A,0,0,A,0.616,338.5,A,0,0,A,0.422,214.9,A,0.187,156.8,A,0,0,A,0.404,20,A,0,0,A,0.188,128.7,A,0.053,48.1,A,0,0,A,0.103,311.2,A,0,0,A,0.043,128.7,A,0.069,48.1,A,0,0,A,0.033,311.2,A,0,0,A,0.459,0.3,A,0.406,356.9,A,0.306,129.3,A,0.281,6,A,0.227,A,0,A,597.068,A,0,A,A,0,0,OK,0,A
362847,2023/10/25,08:08:21,101,175/65R14           ,49403846,A,17.54,129.6,A,5.043,70.3,A,22.584,A,20.572,117.5,A,15.589,145.8,A,0.302,255,A,0.443,162,A,0,0,A,0.701,77.8,A,0,0,A,0.088,235.4,A,0.264,186.7,A,0,0,A,0.449,27.9,A,0,0,A,0.082,146.2,A,0.055,358.2,A,0,0,A,0.032,222.8,A,0,0,A,0.01,146.2,A,0.019,358.2,A,0,0,A,0.078,220.3,A,0,0,A,0.494,354.8,A,0.476,355.2,A,0.379,1.8,A,0.302,3.3,A,0.28,A,0,A,596.846,A,0,A,A,0,0,OK,0,A
362848,2023/10/25,08:08:51,101,175/65R14           ,49405059,A,4.734,330.2,A,4.989,118.9,A,9.723,A,2.636,49.9,A,9.363,314.2,A,0.42,246.1,A,0.626,133.4,A,0,0,A,1.026,77.4,A,0,0,A,0.178,210.5,A,0.438,170,A,0,0,A,0.484,43.7,A,0,0,A,0.136,193.4,A,0.228,198,A,0,0,A,0.204,255.9,A,0,0,A,0.026,193.4,A,0.005,198,A,0,0,A,0.03,255.8,A,0,0,A,0.272,239,A,0.392,81.9,A,0.337,68.2,A,0.332,68,A,0.431,A,0,A,596.913,A,0,A,A,0,0,OK,0,A
362849,2023/10/25,08:09:24,101,175/65R14           ,49403971,A,20.963,23.1,A,24.643,47.1,A,45.606,A,44.614,36.1,A,10.151,284.3,A,0.531,87.3,A,0.624,140.3,A,0,0,A,1.414,78.9,E,0,0,A,0.179,253.5,A,0.423,162.5,A,0,0,A,0.64,49.8,A,0,0,A,0.279,151.3,A,0.044,271.5,A,0,0,A,0.203,222.2,A,0,0,A,0.063,151.3,A,0.076,271.5,A,0,0,A,0.086,222.2,A,0,0,A,0.632,4,A,0.447,4,A,0.372,73.8,A,0.48,73.8,A,0.574,A,0,A,596.85,A,0,A,E,0,0,OK,0,A
362850,2023/10/25,08:09:56,101,175/65R14           ,49403888,A,18.778,22.7,A,13.386,75.7,A,32.163,A,28.884,44.4,A,15.142,337.8,A,0.488,79.9,A,0.516,216.7,A,0,0,A,0.865,22.7,A,0,0,A,0.167,9.6,A,0.236,215.5,A,0,0,A,0.553,33.4,A,0,0,A,0.18,105.6,A,0.012,4.7,A,0,0,A,0.087,258.4,A,0,0,A,0.064,105.6,A,0.036,4.7,A,0,0,A,0.097,258.4,A,0,0,A,0.7,356,A,0.389,355.3,A,0.413,3,A,0.272,347.9,A,0.328,A,0,A,596.799,A,0,A,A,0,0,OK,0,A
362851,2023/10/25,08:10:24,101,175/65R14           ,49405054,A,10.944,80.7,A,12.518,136.9,A,23.462,A,20.701,110.9,A,11.155,11.7,A,0.472,272.1,A,0.357,193.2,A,0,0,A,0.74,342.5,A,0,0,A,0.23,264.6,A,0.135,180.9,A,0,0,A,0.606,11.2,A,0,0,A,0.136,197.9,A,0.017,255.1,A,0,0,A,0.053,43.4,A,0,0,A,0.028,197.9,A,0.028,255.1,A,0,0,A,0.092,43.4,A,0,0,A,0.317,207.5,A,0.273,238.3,A,0.36,101.5,A,0.234,102,A,0.202,A,0,A,596.996,A,0,A,A,0,0,OK,0,A
362852,2023/10/25,08:10:52,101,175/65R14           ,49405055,A,19.572,308.2,A,31.014,0,A,50.586,A,45.765,340.4,A,24.401,219.2,A,0.438,218.8,A,0.368,39.1,A,0,0,A,0.59,337.4,A,0,0,A,0.287,185.4,A,0.163,75.8,A,0,0,A,0.42,17.9,A,0,0,A,0.062,143.9,A,0.019,256.6,A,0,0,A,0.089,340.6,A,0,0,A,0.017,143.9,A,0.023,256.6,A,0,0,A,0.025,339.3,A,0,0,A,0.582,339.1,A,0.37,55.4,A,0.565,50.4,A,0.341,50.7,A,0.183,A,0,A,597.045,A,0,A,A,0,0,OK,0,A
362853,2023/10/25,08:11:19,101,175/65R14           ,49403982,A,26.612,25.8,A,18.137,60.1,A,44.749,A,42.832,39.6,A,15.484,344.5,A,0.383,84.4,A,0.827,154.2,A,0,0,A,0.554,63,A,0,0,A,0.12,14.2,A,0.547,208.4,A,0,0,A,0.351,49.3,A,0,0,A,0.192,121.5,A,0.24,308.1,A,0,0,A,0.125,110,A,0,0,A,0.004,121.5,A,0.037,308.1,A,0,0,A,0.037,110,A,0,0,A,0.425,356.3,A,0.411,356.1,A,0.352,6.1,A,0.377,349.2,A,0.266,A,0,A,596.799,A,0,A,A,0,0,OK,0,A
362854,2023/10/25,08:11:46,101,175/65R14           ,49403887,A,18.279,32.5,A,6.924,328,A,25.203,A,22.153,16.1,A,16.533,54.8,A,0.497,61.9,A,0.548,199.5,A,0,0,A,0.961,72.2,A,0,0,A,0.026,140.2,A,0.291,201.6,A,0,0,A,0.694,16.7,A,0,0,A,0.182,113.8,A,0.141,310.4,A,0,0,A,0.156,155.2,A,0,0,A,0.039,113.8,A,0.065,310.4,A,0,0,A,0.044,155.2,A,0,0,A,0.394,357.5,A,0.435,356.5,A,0.477,345.3,A,0.347,2.5,A,0.376,A,0,A,596.807,A,0,A,A,0,0,OK,0,A
362855,2023/10/25,08:12:14,101,175/65R14           ,49403980,A,8.69,1.9,A,21.197,322.2,A,29.887,A,28.43,333.5,A,15.537,121.3,A,0.376,134.5,A,0.366,176.6,A,0,0,A,0.811,9,A,0,0,A,0.193,142.6,A,0.086,119.4,A,0,0,A,0.545,350.3,A,0,0,A,0.064,246.1,A,0.044,166.9,A,0,0,A,0.213,142.8,A,0,0,A,0.053,246.1,A,0.049,166.9,A,0,0,A,0.045,142.8,A,0,0,A,0.45,319.8,A,0.535,318.8,A,0.331,327,A,0.18,255.1,A,0.313,A,0,A,596.644,A,0,A,A,0,0,OK,0,A
362856,2023/10/25,08:12:45,101,175/65R14           ,49403977,A,15.593,87.4,A,7.934,140.6,A,23.527,A,21.317,104.7,A,12.56,57,A,0.353,82.9,A,0.941,161.7,A,0,0,A,0.761,10.8,A,0,0,A,0.053,199.8,A,0.412,197.2,A,0,0,A,0.474,32.3,A,0,0,A,0.111,184,A,0.168,245.8,A,0,0,A,0.081,10.1,A,0,0,A,0.064,184,A,0.076,245.8,A,0,0,A,0.075,10.1,A,0,0,A,0.308,350.9,A,0.424,358.4,A,0.285,56.3,A,0.739,1.7,A,0.289,A,0,A,596.724,A,0,A,A,0,0,OK,0,A
362857,2023/10/25,08:13:17,101,175/65R14           ,49405034,A,14.707,246.8,A,32.391,160.6,A,47.098,A,36.449,184.3,A,34.676,315.6,A,0.694,357.4,A,0.64,140.3,A,0,0,A,0.806,81.3,A,0,0,A,0.284,318.3,A,0.529,180.6,A,0,0,A,0.479,32.8,A,0,0,A,0.127,24.9,A,0.125,227.8,A,0,0,A,0.1,157.1,A,0,0,A,0.085,24.9,A,0.055,227.8,A,0,0,A,0.072,157.1,A,0,0,A,0.52,357.3,A,0.511,357.6,A,0.351,3.4,A,0.307,351.7,A,0.346,A,0,A,597.052,A,0,A,A,0,0,OK,0,A
362858,2023/10/25,08:13:50,101,175/65R14           ,49405035,A,19.484,310.1,A,8.549,0.9,A,28.033,A,25.753,325,A,15.563,284.8,A,0.706,272.9,A,0.53,160.5,A,0,0,A,0.908,11.5,A,0,0,A,0.504,254.9,A,0.183,164.6,A,0,0,A,0.613,339.1,A,0,0,A,0.078,172.7,A,0.141,265.6,A,0,0,A,0.065,120.1,A,0,0,A,0.01,172.7,A,0.038,265.6,A,0,0,A,0.024,120.1,A,0,0,A,0.443,275,A,0.413,351.2,A,0.378,279.9,A,0.45,279.3,A,0.303,A,0,A,597.095,A,0,A,A,0,0,OK,0,A
362859,2023/10/25,08:14:15,101,175/65R14           ,49403979,A,33.542,54.9,A,39.031,96.8,A,72.572,A,67.799,77.5,A,26.462,334.7,A,0.785,77.5,A,0.606,183.3,A,0,0,A,1.085,68.9,A,0,0,A,0.167,40.6,A,0.387,166.6,A,0,0,A,0.605,24.3,A,0,0,A,0.22,134.1,A,0.144,336.2,A,0,0,A,0.174,234.1,A,0,0,A,0.055,134.1,A,0.072,336.2,A,0,0,A,0.102,233.3,A,0,0,A,0.673,357.6,A,0.566,357.7,A,0.44,5.3,A,0.359,67.1,A,0.459,A,0,A,596.789,A,0,A,A,0,0,OK,0,A
362860,2023/10/25,08:14:44,101,175/65R14           ,49403981,A,9.391,34.2,A,25.994,356.7,A,35.385,A,33.934,6.4,A,19.398,159.6,A,0.576,194.5,A,0.551,222.3,A,0,0,A,0.934,350,A,0,0,A,0.299,189.7,A,0.171,231.1,A,0,0,A,0.562,19.7,A,0,0,A,0.151,152.7,A,0.05,27.9,A,0,0,A,0.127,247.5,A,0,0,A,0.005,152.7,A,0.055,27.9,A,0,0,A,0.011,247.5,A,0,0,A,0.636,359.6,A,0.495,359.8,A,0.572,9,A,0.386,353.1,A,0.332,A,0,A,596.719,A,0,A,A,0,0,OK,0,A
362861,2023/10/25,08:15:11,101,175/65R14           ,49403886,A,8.68,309.2,A,8.27,6.7,A,16.95,A,14.867,337.2,A,8.15,250.5,A,0.554,76.1,A,0.48,135.7,A,0,0,A,0.941,58.7,A,0,0,A,0.16,200.7,A,0.068,164.9,A,0,0,A,0.615,26.4,A,0,0,A,0.17,112.1,A,0.167,295.9,A,0,0,A,0.096,227.7,A,0,0,A,0.085,112.1,A,0.081,295.9,A,0,0,A,0.072,227.7,A,0,0,A,0.686,353.8,A,0.602,353.4,A,0.409,50.5,A,0.246,51.7,A,0.27,A,0,A,596.794,A,0,A,A,0,0,OK,0,A
362862,2023/10/25,08:15:38,101,175/65R14           ,49405045,A,19.813,325.1,A,7.159,308.7,A,26.973,A,26.757,320.8,A,13.104,334,A,0.761,247.6,A,0.41,80.8,A,0,0,A,0.8,339.6,A,0,0,A,0.583,229.3,A,0.205,104.1,A,0,0,A,0.597,8.3,A,0,0,A,0.092,226.3,A,0.073,152.9,A,0,0,A,0.159,49.6,A,0,0,A,0.012,226.3,A,0.032,152.9,A,0,0,A,0.038,52.2,A,0,0,A,0.517,3.3,A,0.389,0.7,A,0.335,355.3,A,0.161,271,A,0.216,A,0,A,597.12,A,0,A,A,0,0,OK,0,A
362863,2023/10/25,08:18:13,21,175/70R14           ,88887,A,34.364,210.1,A,23.984,209.8,A,58.347,A,58.347,210,A,10.381,210.9,A,0.662,342.9,A,0.538,171,A,0,0,A,0.543,209.4,A,0,0,A,0.465,307.4,A,0.11,217.4,A,0,0,A,0.097,81.1,A,0,0,A,0.047,100,A,0.173,352.6,A,0,0,A,0.162,8,A,0,0,A,0.026,100,A,0.033,352.6,A,0,0,A,0.054,8,A,0,0,A,0.469,344.4,A,0.493,342.7,A,0.374,78.8,A,0.565,78.7,A,0.317,A,0,A,607.096,A,0,A,A,0,0,OK,0,A
362864,2023/10/25,08:18:42,21,175/70R14           ,88831,A,27.83,353.1,A,24.28,1.3,A,52.11,A,51.978,356.9,A,5.129,310.9,A,0.681,8.3,A,0.692,196.2,A,0,0,A,0.568,57.6,A,0,0,A,0.4,13.3,A,0.216,246.9,A,0,0,A,0.282,42.9,A,0,0,A,0.1,169.4,A,0.122,41.1,A,0,0,A,0.18,128.1,A,0,0,A,0.081,169.4,A,0.073,41.1,A,0,0,A,0.029,127.9,A,0,0,A,0.536,358.3,A,0.498,359.2,A,0.438,139.8,A,0.7,91.4,A,0.29,A,0,A,606.871,A,0,A,A,0,0,OK,0,A
362865,2023/10/25,08:19:09,21,175/70R14           ,88876,A,40.338,248.6,A,20.832,240.5,A,61.17,A,61.032,245.9,A,19.932,257.1,A,0.669,223.4,A,0.608,160.4,A,0,0,A,0.653,59.5,A,0,0,A,0.566,290.9,A,0.333,151,A,0,0,A,0.42,80.7,A,0,0,A,0.216,55.9,A,0.078,213.6,A,0,0,A,0.126,67.4,A,0,0,A,0.017,55.9,A,0.026,213.6,A,0,0,A,0.032,66.9,A,0,0,A,0.621,341.1,A,0.395,340.1,A,0.591,75.3,A,0.424,216.7,A,0.252,A,0,A,607.559,A,0,A,A,0,0,OK,0,A
362866,2023/10/25,08:19:39,21,175/70R14           ,88811,A,11.019,14,A,24.531,63.7,A,35.55,A,32.748,48.8,A,19.337,269.5,A,0.697,318.6,A,0.662,193.1,A,0,0,A,0.617,58.7,A,0,0,A,0.543,335.7,A,0.153,193.8,A,0,0,A,0.35,45.7,A,0,0,A,0.106,168.9,A,0.166,330.5,A,0,0,A,0.053,246,A,0,0,A,0.029,168.9,A,0.085,330.5,A,0,0,A,0.047,246,A,0,0,A,0.507,118.7,A,0.328,87.3,A,0.527,254.5,A,0.645,93.1,A,0.233,A,0,A,606.648,A,0,A,A,0,0,OK,0,A
362867,2023/10/25,08:20:06,21,175/70R14           ,88810,A,32.806,252.9,A,20.703,219.7,A,53.509,A,51.386,240.2,A,19.214,289.2,A,0.982,297.2,A,0.639,153.6,A,0,0,A,0.601,20.6,A,0,0,A,0.836,283,A,0.185,184.2,A,0,0,A,0.342,46.8,A,0,0,A,0.163,167.7,A,0.144,294.6,A,0,0,A,0.062,357.6,A,0,0,A,0.01,167.7,A,0.025,294.6,A,0,0,A,0.069,355.2,A,0,0,A,0.454,39.6,A,0.46,58.3,A,0.493,64.2,A,0.534,63.5,A,0.283,A,0,A,606.722,A,0,A,A,0,0,OK,0,A
362868,2023/10/25,08:20:35,21,175/70R14           ,88862,A,30.824,296.6,A,22.335,277.6,A,53.159,A,52.444,288.6,A,12.148,333.5,A,0.527,338.7,A,0.312,130.7,A,0,0,A,0.65,60.6,A,0,0,A,0.344,288.7,A,0.075,142.5,A,0,0,A,0.378,80.6,A,0,0,A,0.039,326.2,A,0.033,22.6,A,0,0,A,0.229,30.6,A,0,0,A,0.043,326.2,A,0.073,22.6,A,0,0,A,0.024,31.5,A,0,0,A,0.528,1.8,A,0.546,0.2,A,0.51,13.3,A,0.517,352.5,A,0.308,A,0,A,607.529,A,0,A,A,0,0,OK,0,A
362869,2023/10/25,08:21:02,21,175/70R14           ,88861,A,45.191,237.9,A,18.602,179.1,A,63.793,A,57.096,221.7,A,38.943,262,A,0.58,250.3,A,0.571,169.1,A,0,0,A,0.592,74.3,A,0,0,A,0.35,302.6,A,0.283,125.7,A,0,0,A,0.345,54.1,A,0,0,A,0.049,187.6,A,0.126,36.1,A,0,0,A,0.214,82.7,A,0,0,A,0.033,187.6,A,0.01,36.1,A,0,0,A,0.067,83.7,A,0,0,A,0.579,125.1,A,0.491,145.2,A,0.551,85.3,A,0.451,132.7,A,0.345,A,0,A,607.476,A,0,A,A,0,0,OK,0,A
